,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
40168,физ. лицо,получение средств,3515.63,наличный,Гомель,МаксБанк-YDUW-995,14-02-2023,23:58:21,успешно,нет,0.0
40228,физ. лицо,получение средств,3250.32,наличный,Минск,МаксБанк-USYA-495,12-06-2001,23:08:45,успешно,нет,0.0
40237,физ. лицо,получение средств,3955.62,наличный,Гомель,Приорбанк-XIUW-531,03-07-2002,23:20:35,успешно,нет,0.0
40272,физ. лицо,получение средств,2206.31,безналичный,Брест,Белинвестбанк-WKYZ-542,27-07-2003,23:38:10,успешно,нет,0.0
40337,юр. лицо,получение средств,3401.79,наличный,Брест,МаксБанк-JSUI-201,21-04-2002,23:39:06,успешно,нет,0.0
40399,юр. лицо,получение средств,1477.91,наличный,Витебск,МаксБанк-EBBQ-124,20-08-2021,23:25:54,успешно,нет,0.0
40401,физ. лицо,списание средств,3155.23,безналичный,Витебск,Приорбанк-URRF-592,26-03-2018,23:50:23,успешно,да,174.16
40422,физ. лицо,списание средств,4419.86,безналичный,Витебск,Приорбанк-LBKX-525,15-01-2012,23:14:02,неправильный ввод пин-кода,нет,0.0
40441,физ. лицо,списание средств,4023.32,безналичный,Витебск,БелАгропромбанк-WOSX-418,16-03-2009,23:26:12,недостаточно средств,нет,0.0
40480,физ. лицо,списание средств,501.04,безналичный,Могилев,Белинвестбанк-BGLY-889,12-05-2020,23:07:09,недостаточно средств,да,8.73
40544,физ. лицо,списание средств,4376.34,наличный,Гродно,Белинвестбанк-FAAC-745,23-03-2002,23:12:28,неправильный ввод пин-кода,нет,0.0
40566,физ. лицо,списание средств,2858.39,наличный,Гомель,МаксБанк-MKTK-298,26-06-2008,23:07:43,успешно,да,31.21
40573,физ. лицо,получение средств,2400.68,наличный,Минск,МаксБанк-RXZU-467,04-05-2017,23:06:29,успешно,нет,0.0
40598,физ. лицо,получение средств,1353.18,безналичный,Брест,МаксБанк-FNFO-239,04-04-2013,23:15:06,успешно,нет,0.0
40626,физ. лицо,списание средств,2093.98,безналичный,Витебск,Беларусбанк-WHZX-533,22-06-2005,23:48:01,неправильный ввод пин-кода,да,147.52
40637,физ. лицо,списание средств,1046.35,безналичный,Брест,Белинвестбанк-SYVE-449,11-08-2003,23:48:30,неправильный ввод пин-кода,да,55.66
40639,физ. лицо,списание средств,341.93,безналичный,Гомель,МаксБанк-IOHC-676,31-12-2016,23:56:15,успешно,нет,0.0
40648,физ. лицо,списание средств,202.44,наличный,Минск,Белинвестбанк-SYAF-418,14-03-2021,23:44:01,успешно,нет,0.0
40661,юр. лицо,списание средств,848.42,наличный,Витебск,Беларусбанк-NCPI-570,02-02-2007,23:38:13,успешно,нет,0.0
40664,физ. лицо,получение средств,4447.18,безналичный,Витебск,МаксБанк-KUDH-709,22-02-2007,23:07:40,успешно,нет,0.0
40682,юр. лицо,списание средств,2004.39,наличный,Витебск,БелАгропромбанк-XPKH-993,03-11-2005,23:47:16,недостаточно средств,нет,0.0
40693,физ. лицо,получение средств,1093.81,наличный,Гродно,МаксБанк-JEJD-665,18-10-2002,23:26:49,успешно,нет,0.0
40714,юр. лицо,списание средств,4904.12,безналичный,Могилев,Приорбанк-XGWD-709,29-10-2002,23:17:26,неправильный ввод пин-кода,нет,0.0
40739,юр. лицо,получение средств,3966.18,безналичный,Минск,Беларусбанк-ECFR-955,31-12-2017,23:00:49,успешно,нет,0.0
40775,физ. лицо,получение средств,1147.1,наличный,Брест,БелАгропромбанк-ZGHH-669,01-03-2012,23:17:27,успешно,нет,0.0
40786,физ. лицо,списание средств,1130.35,безналичный,Могилев,БелАгропромбанк-GTTG-544,11-04-2017,23:34:05,неправильный ввод пин-кода,да,60.71
40819,физ. лицо,получение средств,2529.82,безналичный,Брест,Беларусбанк-YXBU-429,22-04-2010,23:14:35,успешно,нет,0.0
40841,физ. лицо,получение средств,2263.53,безналичный,Гродно,Приорбанк-TMJU-549,14-01-2012,23:48:40,успешно,нет,0.0
40875,юр. лицо,списание средств,4695.91,безналичный,Гомель,МаксБанк-STJJ-490,29-08-2022,23:37:25,неправильный ввод пин-кода,нет,0.0
40905,физ. лицо,получение средств,3150.77,наличный,Гродно,Белинвестбанк-RITB-429,18-11-2011,23:26:47,успешно,нет,0.0
40961,физ. лицо,списание средств,1524.96,наличный,Могилев,МаксБанк-ANYA-914,23-09-2014,23:14:09,недостаточно средств,нет,0.0
40978,физ. лицо,списание средств,3725.91,безналичный,Гомель,МаксБанк-FVNS-496,28-04-2024,23:43:26,успешно,да,351.25
41059,юр. лицо,списание средств,4201.21,безналичный,Минск,Белинвестбанк-MSLN-479,28-07-2002,23:47:41,успешно,да,343.55
41092,физ. лицо,получение средств,1687.11,безналичный,Брест,Приорбанк-VPCM-990,21-11-2024,23:01:36,успешно,нет,0.0
41097,юр. лицо,списание средств,3791.13,безналичный,Могилев,Приорбанк-CVDQ-175,21-08-2024,23:34:54,неправильный ввод пин-кода,да,109.73
41116,физ. лицо,получение средств,4411.15,наличный,Гродно,Белинвестбанк-JIQX-910,16-04-2019,23:00:35,успешно,нет,0.0
41124,физ. лицо,списание средств,147.33,наличный,Брест,БелАгропромбанк-XJVJ-171,28-12-2023,23:09:21,неправильный ввод пин-кода,да,13.85
41177,юр. лицо,получение средств,4498.06,безналичный,Гомель,БелАгропромбанк-DMLE-199,04-08-2009,23:46:58,успешно,нет,0.0
41192,юр. лицо,получение средств,3394.06,наличный,Могилев,Беларусбанк-PPDT-489,03-03-2002,23:53:02,успешно,нет,0.0
41195,физ. лицо,списание средств,2311.72,наличный,Минск,Приорбанк-NYGE-793,26-09-2007,23:30:18,успешно,да,126.08
41200,юр. лицо,получение средств,1843.96,безналичный,Гродно,МаксБанк-BEBQ-298,14-10-2014,23:50:57,успешно,нет,0.0
41211,физ. лицо,списание средств,2929.83,безналичный,Гомель,Белинвестбанк-TODM-269,02-07-2019,23:43:11,неправильный ввод пин-кода,да,110.48
41269,физ. лицо,списание средств,1197.8,безналичный,Гродно,Беларусбанк-GMFB-029,24-12-2009,23:21:02,неправильный ввод пин-кода,нет,0.0
41280,физ. лицо,получение средств,4214.21,безналичный,Гомель,Приорбанк-FKDU-407,31-01-2004,23:05:38,успешно,нет,0.0
41330,юр. лицо,получение средств,2796.36,безналичный,Минск,МаксБанк-XIUA-104,05-03-2019,23:25:39,успешно,нет,0.0
41357,физ. лицо,списание средств,4659.41,безналичный,Витебск,Приорбанк-DBHU-254,29-01-2006,23:10:20,неправильный ввод пин-кода,нет,0.0
41376,юр. лицо,списание средств,3562.69,наличный,Витебск,Беларусбанк-QZBJ-977,19-11-2003,23:50:56,неправильный ввод пин-кода,да,184.49
41388,физ. лицо,списание средств,375.56,наличный,Брест,Белинвестбанк-ODRF-008,01-06-2007,23:26:33,успешно,да,13.56
41411,юр. лицо,списание средств,3962.16,безналичный,Могилев,Приорбанк-UJNO-462,27-06-2022,23:48:56,недостаточно средств,да,327.99
41437,физ. лицо,получение средств,2524.36,наличный,Могилев,МаксБанк-SPLC-137,13-05-2019,23:40:31,успешно,нет,0.0
41486,юр. лицо,получение средств,4962.97,безналичный,Могилев,БелАгропромбанк-WMTJ-225,12-04-2021,23:01:29,успешно,нет,0.0
41537,юр. лицо,списание средств,3265.93,безналичный,Могилев,Приорбанк-ICJO-352,05-11-2007,23:47:15,недостаточно средств,да,67.73
41613,юр. лицо,получение средств,4240.12,наличный,Брест,Приорбанк-RCIV-587,18-10-2021,23:05:52,успешно,нет,0.0
41729,физ. лицо,списание средств,373.7,безналичный,Витебск,Беларусбанк-CDPN-962,30-01-2008,23:04:37,успешно,да,17.08
41747,физ. лицо,получение средств,4774.84,безналичный,Гродно,МаксБанк-MOHY-909,14-08-2018,23:23:54,успешно,нет,0.0
41778,физ. лицо,списание средств,1698.09,безналичный,Гродно,Приорбанк-PTNY-542,18-07-2019,23:44:08,успешно,нет,0.0
41793,юр. лицо,получение средств,2146.14,наличный,Витебск,БелАгропромбанк-OTGH-507,19-11-2010,23:51:47,успешно,нет,0.0
41835,физ. лицо,списание средств,4697.23,наличный,Гродно,Беларусбанк-XFVH-385,09-10-2001,23:42:26,недостаточно средств,да,236.66
41880,юр. лицо,получение средств,155.72,наличный,Минск,Беларусбанк-WDIN-771,11-03-2004,23:17:48,успешно,нет,0.0
41906,юр. лицо,получение средств,2666.81,наличный,Гродно,БелАгропромбанк-KSFJ-984,21-10-2017,23:52:35,успешно,нет,0.0
41922,физ. лицо,получение средств,3149.82,безналичный,Брест,БелАгропромбанк-MVBB-951,05-11-2001,23:35:16,успешно,нет,0.0
41947,юр. лицо,списание средств,2642.15,наличный,Гомель,БелАгропромбанк-IMOB-409,08-02-2002,23:50:19,недостаточно средств,да,145.79
41957,физ. лицо,получение средств,3344.98,наличный,Могилев,Беларусбанк-SWFO-588,17-04-2009,23:02:55,успешно,нет,0.0
42016,физ. лицо,получение средств,3496.66,наличный,Гомель,Белинвестбанк-JWNR-111,28-08-2008,23:18:51,успешно,нет,0.0
42052,физ. лицо,списание средств,1191.28,безналичный,Минск,Беларусбанк-IPIN-353,16-07-2005,23:42:50,недостаточно средств,да,50.22
42075,юр. лицо,списание средств,1165.76,наличный,Витебск,Беларусбанк-RQXR-652,08-02-2012,23:12:39,успешно,нет,0.0
42116,физ. лицо,списание средств,2738.55,безналичный,Витебск,Белинвестбанк-GYUW-602,21-04-2017,23:01:09,недостаточно средств,да,146.43
42156,физ. лицо,получение средств,1739.72,наличный,Гомель,Белинвестбанк-HQIC-652,31-10-2004,23:43:23,успешно,нет,0.0
42249,юр. лицо,получение средств,1142.76,наличный,Брест,МаксБанк-SURF-656,03-07-2021,23:14:06,успешно,нет,0.0
42291,физ. лицо,получение средств,235.87,безналичный,Минск,МаксБанк-ZHVL-754,22-01-2010,23:58:25,успешно,нет,0.0
42339,юр. лицо,получение средств,3331.43,безналичный,Минск,Беларусбанк-PETX-233,18-09-2003,23:20:42,успешно,нет,0.0
42347,физ. лицо,списание средств,780.27,безналичный,Витебск,Белинвестбанк-IJDB-277,21-01-2020,23:02:00,неправильный ввод пин-кода,нет,0.0
42398,физ. лицо,получение средств,4631.57,наличный,Гродно,БелАгропромбанк-AESL-938,15-01-2024,23:22:31,успешно,нет,0.0
42414,физ. лицо,списание средств,4786.16,безналичный,Минск,МаксБанк-BKNL-457,08-11-2020,23:56:45,неправильный ввод пин-кода,нет,0.0
42598,физ. лицо,списание средств,4549.18,наличный,Витебск,Белинвестбанк-WFOJ-491,25-05-2019,23:55:45,успешно,да,366.36
42603,юр. лицо,получение средств,4458.65,наличный,Гродно,Беларусбанк-DJQU-221,17-12-2013,23:07:49,успешно,нет,0.0
42605,физ. лицо,получение средств,4559.49,безналичный,Брест,БелАгропромбанк-OMWB-550,30-07-2010,23:59:53,успешно,нет,0.0
42630,юр. лицо,списание средств,1200.47,безналичный,Гродно,Приорбанк-DRZK-655,16-06-2012,23:09:56,недостаточно средств,нет,0.0
42639,юр. лицо,получение средств,587.6,безналичный,Брест,Белинвестбанк-FHFN-359,12-05-2002,23:32:37,успешно,нет,0.0
42678,юр. лицо,получение средств,2884.14,наличный,Гомель,Приорбанк-KCGC-863,14-07-2020,23:00:27,успешно,нет,0.0
42703,физ. лицо,получение средств,3594.38,наличный,Гродно,МаксБанк-DTNB-841,04-10-2008,23:59:13,успешно,нет,0.0
42719,юр. лицо,получение средств,2899.56,безналичный,Брест,МаксБанк-EMXT-502,21-06-2005,23:50:14,успешно,нет,0.0
42720,юр. лицо,получение средств,2415.67,безналичный,Витебск,Беларусбанк-IKLQ-284,14-02-2010,23:13:30,успешно,нет,0.0
42738,юр. лицо,списание средств,2340.41,наличный,Брест,Приорбанк-WANR-643,02-02-2002,23:52:50,успешно,нет,0.0
42751,физ. лицо,получение средств,398.36,наличный,Брест,Беларусбанк-SOPB-099,08-04-2012,23:37:57,успешно,нет,0.0
42810,физ. лицо,списание средств,1029.99,безналичный,Могилев,МаксБанк-YVVR-563,02-01-2017,23:58:00,недостаточно средств,да,43.73
42880,физ. лицо,списание средств,861.21,безналичный,Минск,МаксБанк-RCRI-986,18-07-2012,23:23:35,недостаточно средств,нет,0.0
42883,юр. лицо,получение средств,2371.05,безналичный,Брест,Белинвестбанк-LLBZ-401,26-12-2005,23:03:31,успешно,нет,0.0
42899,юр. лицо,получение средств,2837.68,безналичный,Витебск,Беларусбанк-BGZG-091,11-05-2000,23:46:26,успешно,нет,0.0
42906,физ. лицо,получение средств,510.33,безналичный,Витебск,МаксБанк-RKCG-658,30-07-2023,23:03:03,успешно,нет,0.0
42919,юр. лицо,получение средств,4076.19,безналичный,Могилев,БелАгропромбанк-FKWE-300,19-04-2020,23:36:04,успешно,нет,0.0
42952,юр. лицо,получение средств,97.72,наличный,Минск,МаксБанк-DMXT-499,21-04-2021,23:06:11,успешно,нет,0.0
42972,физ. лицо,списание средств,3882.35,наличный,Минск,Приорбанк-MLMS-950,31-12-2001,23:14:09,неправильный ввод пин-кода,нет,0.0
43011,физ. лицо,получение средств,3113.79,наличный,Брест,Беларусбанк-PVFJ-274,19-08-2021,23:17:48,успешно,нет,0.0
43042,физ. лицо,получение средств,1068.81,безналичный,Витебск,Приорбанк-KMMN-157,21-10-2005,23:01:17,успешно,нет,0.0
43111,физ. лицо,списание средств,3530.33,наличный,Минск,Беларусбанк-TPEY-203,03-04-2001,23:25:11,успешно,да,322.84
43183,юр. лицо,списание средств,2307.11,наличный,Минск,МаксБанк-ENSA-415,20-02-2000,23:32:44,недостаточно средств,да,132.05
43203,физ. лицо,списание средств,2348.02,наличный,Витебск,Приорбанк-DAJL-450,08-03-2020,23:58:04,успешно,да,100.19
43205,юр. лицо,получение средств,4094.82,наличный,Гродно,МаксБанк-JPNF-659,03-04-2016,23:36:39,успешно,нет,0.0
43216,физ. лицо,получение средств,3339.33,безналичный,Гомель,БелАгропромбанк-HRMN-616,11-04-2023,23:07:46,успешно,нет,0.0
43220,физ. лицо,списание средств,3802.96,безналичный,Брест,БелАгропромбанк-DICS-910,11-02-2019,23:16:53,неправильный ввод пин-кода,да,162.77
43223,физ. лицо,списание средств,3942.94,безналичный,Брест,Приорбанк-JDWU-974,29-10-2016,23:50:06,успешно,да,388.51
43263,физ. лицо,списание средств,4372.87,безналичный,Гомель,БелАгропромбанк-GVBV-144,17-12-2006,23:51:28,недостаточно средств,да,286.57
43272,физ. лицо,списание средств,2136.19,безналичный,Могилев,Беларусбанк-NEGJ-427,01-11-2007,23:30:31,неправильный ввод пин-кода,нет,0.0
43274,юр. лицо,списание средств,2585.12,безналичный,Могилев,БелАгропромбанк-QGTS-570,12-07-2005,23:10:58,недостаточно средств,нет,0.0
43292,юр. лицо,списание средств,3463.84,наличный,Гомель,БелАгропромбанк-BRQG-923,29-06-2016,23:56:37,недостаточно средств,да,96.33
43297,юр. лицо,получение средств,3995.54,наличный,Гродно,МаксБанк-TJAD-709,03-11-2014,23:36:46,успешно,нет,0.0
43333,физ. лицо,получение средств,1670.59,наличный,Гомель,МаксБанк-LCJB-568,29-07-2018,23:08:28,успешно,нет,0.0
43344,физ. лицо,списание средств,3808.89,наличный,Брест,Приорбанк-QONK-548,20-06-2019,23:17:03,успешно,нет,0.0
43364,юр. лицо,получение средств,2732.9,наличный,Гродно,Приорбанк-RXUJ-193,14-07-2020,23:42:35,успешно,нет,0.0
43413,физ. лицо,получение средств,808.93,наличный,Витебск,БелАгропромбанк-EGLV-216,27-06-2024,23:52:35,успешно,нет,0.0
43428,физ. лицо,получение средств,1593.41,наличный,Брест,Приорбанк-DVQG-605,09-09-2019,23:39:48,успешно,нет,0.0
43504,юр. лицо,списание средств,906.45,наличный,Минск,БелАгропромбанк-YVAN-534,12-06-2007,23:38:55,успешно,нет,0.0
43572,физ. лицо,списание средств,193.96,наличный,Витебск,Приорбанк-KUKZ-104,06-11-2008,23:54:45,неправильный ввод пин-кода,да,17.46
43705,физ. лицо,получение средств,337.33,наличный,Минск,Приорбанк-DWDF-117,02-10-2003,23:13:36,успешно,нет,0.0
43833,физ. лицо,списание средств,3334.62,безналичный,Гомель,Приорбанк-IOQK-439,14-12-2019,23:27:28,неправильный ввод пин-кода,да,59.97
43835,физ. лицо,списание средств,4917.56,безналичный,Гродно,БелАгропромбанк-XMRW-061,13-08-2020,23:46:37,недостаточно средств,да,106.45
43862,юр. лицо,получение средств,6.63,наличный,Витебск,БелАгропромбанк-ZAYJ-570,16-05-2020,23:38:38,успешно,нет,0.0
43870,физ. лицо,получение средств,4652.8,наличный,Могилев,МаксБанк-QHZD-246,28-07-2019,23:52:11,успешно,нет,0.0
43912,юр. лицо,списание средств,2826.51,наличный,Гомель,Белинвестбанк-WGGO-933,14-03-2011,23:50:27,неправильный ввод пин-кода,нет,0.0
43932,юр. лицо,получение средств,2910.54,наличный,Минск,Приорбанк-BCPN-940,03-07-2017,23:09:08,успешно,нет,0.0
43999,физ. лицо,списание средств,3543.29,безналичный,Могилев,БелАгропромбанк-TTOQ-683,03-06-2006,23:08:46,успешно,да,203.61
44037,юр. лицо,списание средств,3677.53,безналичный,Могилев,Белинвестбанк-WYFI-616,19-10-2008,23:31:04,неправильный ввод пин-кода,да,167.41
44081,физ. лицо,списание средств,314.63,безналичный,Минск,Белинвестбанк-YOSL-029,19-06-2018,23:10:13,неправильный ввод пин-кода,нет,0.0
44182,физ. лицо,получение средств,1956.91,наличный,Гродно,Приорбанк-TLPH-632,22-07-2004,23:14:42,успешно,нет,0.0
44208,физ. лицо,получение средств,1639.14,наличный,Минск,Приорбанк-NTWR-656,12-07-2019,23:33:55,успешно,нет,0.0
44229,физ. лицо,списание средств,58.77,безналичный,Гомель,БелАгропромбанк-EFKJ-142,26-11-2002,23:47:38,недостаточно средств,нет,0.0
44257,физ. лицо,списание средств,2175.33,наличный,Могилев,Приорбанк-FFCR-683,14-06-2014,23:27:23,успешно,нет,0.0
44266,физ. лицо,получение средств,4986.08,безналичный,Гродно,Беларусбанк-AZDE-706,16-07-2005,23:15:44,успешно,нет,0.0
44313,физ. лицо,получение средств,2724.31,наличный,Могилев,Белинвестбанк-QNMJ-299,15-12-2000,23:30:27,успешно,нет,0.0
44315,юр. лицо,получение средств,1817.44,наличный,Витебск,Беларусбанк-SGBV-432,28-10-2013,23:43:50,успешно,нет,0.0
44359,юр. лицо,получение средств,2951.35,наличный,Минск,Беларусбанк-NQGS-243,17-06-2009,23:11:17,успешно,нет,0.0
44380,физ. лицо,списание средств,4049.11,безналичный,Витебск,БелАгропромбанк-OYOE-763,05-08-2017,23:04:26,успешно,нет,0.0
44390,юр. лицо,списание средств,3087.42,безналичный,Гродно,Белинвестбанк-YIQG-451,28-10-2011,23:58:54,неправильный ввод пин-кода,да,46.94
44405,юр. лицо,списание средств,1668.33,наличный,Минск,БелАгропромбанк-HOEB-502,17-12-2009,23:11:06,неправильный ввод пин-кода,да,149.25
44455,юр. лицо,списание средств,4296.67,безналичный,Гродно,МаксБанк-MSDB-055,03-10-2007,23:46:39,недостаточно средств,нет,0.0
44480,юр. лицо,списание средств,4097.6,наличный,Гомель,Белинвестбанк-FRIV-897,08-01-2016,23:18:50,неправильный ввод пин-кода,да,300.75
44502,юр. лицо,получение средств,2673.44,наличный,Гродно,Белинвестбанк-HIJI-172,07-10-2000,23:52:47,успешно,нет,0.0
44528,физ. лицо,списание средств,3810.13,наличный,Брест,МаксБанк-YIRY-412,29-03-2012,23:05:23,неправильный ввод пин-кода,да,289.54
44530,физ. лицо,списание средств,3167.59,наличный,Минск,БелАгропромбанк-VFCH-325,01-07-2023,23:54:11,успешно,нет,0.0
44552,физ. лицо,списание средств,113.71,наличный,Витебск,БелАгропромбанк-NKKV-561,03-11-2024,23:30:44,неправильный ввод пин-кода,нет,0.0
44590,физ. лицо,списание средств,4179.6,безналичный,Гродно,БелАгропромбанк-MAFC-271,11-04-2015,23:08:43,успешно,нет,0.0
44602,юр. лицо,списание средств,1104.85,безналичный,Гомель,Белинвестбанк-RKGL-038,01-06-2017,23:32:07,недостаточно средств,да,30.96
44625,физ. лицо,списание средств,2817.06,наличный,Витебск,БелАгропромбанк-YYYZ-843,06-10-2019,23:03:37,недостаточно средств,нет,0.0
44633,физ. лицо,списание средств,4752.28,наличный,Брест,Белинвестбанк-REYA-081,13-10-2022,23:31:38,неправильный ввод пин-кода,нет,0.0
44652,юр. лицо,списание средств,3564.75,наличный,Брест,МаксБанк-MTVN-407,31-03-2014,23:37:21,неправильный ввод пин-кода,нет,0.0
44680,юр. лицо,получение средств,2487.77,наличный,Брест,БелАгропромбанк-LWMG-031,27-01-2004,23:30:00,успешно,нет,0.0
44704,физ. лицо,получение средств,4419.14,безналичный,Гродно,Белинвестбанк-CNBM-141,17-01-2019,23:38:56,успешно,нет,0.0
44785,физ. лицо,получение средств,2865.58,наличный,Витебск,Белинвестбанк-KWNN-482,27-05-2000,23:44:34,успешно,нет,0.0
44794,физ. лицо,списание средств,2882.81,безналичный,Могилев,МаксБанк-AUWN-416,07-07-2020,23:11:19,недостаточно средств,да,284.47
44821,физ. лицо,списание средств,4164.12,безналичный,Могилев,МаксБанк-CTIV-885,24-11-2022,23:24:24,недостаточно средств,нет,0.0
44888,физ. лицо,получение средств,440.31,безналичный,Минск,Беларусбанк-VGTT-416,29-10-2023,23:30:26,успешно,нет,0.0
44911,физ. лицо,списание средств,401.71,безналичный,Могилев,БелАгропромбанк-ITUX-718,02-02-2000,23:29:01,успешно,да,29.41
44975,юр. лицо,списание средств,689.83,безналичный,Гродно,Беларусбанк-UMEY-418,20-04-2005,23:37:21,недостаточно средств,нет,0.0
45010,физ. лицо,списание средств,3084.45,безналичный,Минск,Беларусбанк-XTMF-261,15-12-2010,23:07:15,успешно,нет,0.0
45072,физ. лицо,списание средств,4089.13,наличный,Витебск,Беларусбанк-CLSX-658,25-07-2006,23:11:02,неправильный ввод пин-кода,нет,0.0
45106,физ. лицо,получение средств,4726.61,наличный,Гродно,МаксБанк-QJGF-826,09-08-2008,23:42:02,успешно,нет,0.0
45136,физ. лицо,получение средств,1224.67,наличный,Брест,Белинвестбанк-RQCS-902,24-08-2011,23:32:26,успешно,нет,0.0
45154,физ. лицо,получение средств,1962.12,наличный,Могилев,Белинвестбанк-RCYJ-467,15-03-2023,23:57:59,успешно,нет,0.0
45169,юр. лицо,списание средств,3092.35,безналичный,Гродно,Белинвестбанк-LQIG-185,27-09-2006,23:37:11,недостаточно средств,нет,0.0
45193,юр. лицо,получение средств,3550.02,наличный,Гомель,МаксБанк-OEMY-640,12-07-2012,23:00:51,успешно,нет,0.0
45236,юр. лицо,получение средств,2588.13,наличный,Минск,БелАгропромбанк-GMAH-990,25-09-2022,23:54:57,успешно,нет,0.0
45269,физ. лицо,получение средств,1540.09,наличный,Брест,Приорбанк-YVGJ-162,02-08-2006,23:16:09,успешно,нет,0.0
45302,физ. лицо,получение средств,4822.26,безналичный,Витебск,Беларусбанк-WPSK-523,21-10-2020,23:25:40,успешно,нет,0.0
45389,юр. лицо,списание средств,645.38,наличный,Брест,МаксБанк-PMEK-226,25-10-2022,23:58:54,неправильный ввод пин-кода,нет,0.0
45390,юр. лицо,получение средств,4808.57,наличный,Брест,БелАгропромбанк-EGNY-887,30-10-2022,23:44:19,успешно,нет,0.0
45396,физ. лицо,получение средств,1188.55,безналичный,Могилев,БелАгропромбанк-JWKY-779,14-01-2024,23:29:14,успешно,нет,0.0
45435,юр. лицо,списание средств,517.05,безналичный,Гродно,Приорбанк-PKLA-633,23-02-2017,23:23:59,неправильный ввод пин-кода,да,39.71
45502,физ. лицо,списание средств,3396.78,наличный,Могилев,БелАгропромбанк-WFDF-107,26-01-2009,23:15:47,успешно,нет,0.0
45528,физ. лицо,получение средств,4354.77,наличный,Гродно,Беларусбанк-NKFO-448,25-03-2009,23:17:59,успешно,нет,0.0
45532,физ. лицо,получение средств,2886.37,безналичный,Брест,Беларусбанк-BWYH-429,12-01-2004,23:44:57,успешно,нет,0.0
45533,физ. лицо,получение средств,987.57,безналичный,Могилев,Беларусбанк-WNNG-220,01-05-2005,23:29:36,успешно,нет,0.0
45561,физ. лицо,списание средств,4335.11,безналичный,Минск,Беларусбанк-EWZD-753,17-01-2023,23:07:50,неправильный ввод пин-кода,нет,0.0
45621,физ. лицо,списание средств,1779.78,наличный,Гродно,МаксБанк-XMQP-880,28-12-2023,23:16:07,недостаточно средств,да,97.87
45634,юр. лицо,списание средств,1765.61,безналичный,Витебск,БелАгропромбанк-FMBL-753,22-12-2020,23:38:28,неправильный ввод пин-кода,да,20.84
45638,физ. лицо,списание средств,2415.1,наличный,Минск,МаксБанк-BVBQ-051,01-03-2010,23:20:57,неправильный ввод пин-кода,да,213.81
45666,физ. лицо,получение средств,2880.14,наличный,Минск,МаксБанк-BBAM-806,13-04-2006,23:29:18,успешно,нет,0.0
45713,физ. лицо,списание средств,2816.12,безналичный,Брест,Приорбанк-QAFE-782,20-10-2009,23:14:07,недостаточно средств,нет,0.0
45725,юр. лицо,списание средств,1455.41,безналичный,Витебск,Белинвестбанк-HJBC-118,23-01-2008,23:57:28,недостаточно средств,да,43.36
45736,юр. лицо,получение средств,1808.62,наличный,Витебск,Белинвестбанк-XGIW-421,04-05-2018,23:28:05,успешно,нет,0.0
45758,юр. лицо,списание средств,1474.58,безналичный,Могилев,БелАгропромбанк-ZKAS-142,02-03-2013,23:12:31,недостаточно средств,да,62.15
45789,юр. лицо,списание средств,1856.7,наличный,Гомель,МаксБанк-WNQB-434,29-08-2002,23:05:01,неправильный ввод пин-кода,да,113.32
45804,физ. лицо,списание средств,2740.68,безналичный,Гродно,Приорбанк-SSQS-494,01-09-2006,23:53:50,недостаточно средств,нет,0.0
45805,физ. лицо,получение средств,1528.97,безналичный,Гродно,БелАгропромбанк-OOFR-403,29-12-2011,23:51:11,успешно,нет,0.0
45858,физ. лицо,списание средств,4532.14,наличный,Брест,МаксБанк-BUBE-527,29-06-2011,23:06:33,неправильный ввод пин-кода,да,347.26
46028,физ. лицо,получение средств,4610.93,безналичный,Минск,МаксБанк-WLCC-283,04-01-2014,23:25:23,успешно,нет,0.0
46029,физ. лицо,списание средств,47.61,безналичный,Гомель,Беларусбанк-JPEJ-783,26-12-2024,23:47:24,неправильный ввод пин-кода,нет,0.0
46074,юр. лицо,получение средств,334.61,наличный,Минск,БелАгропромбанк-UQOO-060,25-08-2011,23:34:52,успешно,нет,0.0
46123,юр. лицо,получение средств,1962.35,наличный,Брест,Белинвестбанк-TKDU-793,28-02-2023,23:41:45,успешно,нет,0.0
46125,юр. лицо,получение средств,2920.32,безналичный,Гродно,Белинвестбанк-UHDU-969,20-04-2018,23:28:24,успешно,нет,0.0
46292,юр. лицо,получение средств,3986.32,наличный,Гомель,БелАгропромбанк-BZSH-675,01-06-2015,23:43:55,успешно,нет,0.0
46323,юр. лицо,списание средств,3327.09,безналичный,Гродно,Беларусбанк-DRWW-876,06-11-2005,23:53:55,недостаточно средств,да,116.91
46365,физ. лицо,списание средств,115.44,безналичный,Гродно,Белинвестбанк-CANL-881,27-10-2013,23:49:07,неправильный ввод пин-кода,нет,0.0
46370,юр. лицо,списание средств,3695.58,наличный,Гомель,Белинвестбанк-OAIR-139,03-04-2005,23:16:05,успешно,да,143.8
46402,физ. лицо,получение средств,2335.98,наличный,Брест,БелАгропромбанк-OHCB-856,26-05-2002,23:21:34,успешно,нет,0.0
46466,юр. лицо,получение средств,2652.93,безналичный,Гомель,МаксБанк-JFSP-505,01-11-2015,23:15:24,успешно,нет,0.0
46471,юр. лицо,списание средств,3456.94,наличный,Витебск,БелАгропромбанк-QACT-018,14-09-2007,23:01:00,неправильный ввод пин-кода,да,207.81
